age,utme_score,post_utme_score,olevel_points,subject_relevance,catchment_category,course_choice,interview_score,admission_status
23,180.0,61.3,35.0,0.74,ELDS,First Choice,75.5,0
20,204.0,43.1,29.0,0.58,ELDS,First Choice,52.7,1
19,204.0,13.4,24.0,0.94,Non-Catchment,First Choice,64.4,0
23,217.0,50.2,44.0,0.61,Catchment,First Choice,67.1,1
22,249.0,51.4,41.0,0.97,Catchment,First Choice,27.0,0
17,246.0,55.1,37.0,0.81,Catchment,First Choice,53.4,1
16,274.0,73.9,44.0,0.89,ELDS,First Choice,59.3,1
19,183.0,55.8,36.0,0.82,Non-Catchment,First Choice,61.7,1
23,237.0,58.6,32.0,0.81,Non-Catchment,First Choice,61.4,1
17,253.0,70.8,38.0,0.74,Non-Catchment,Second Choice,68.8,1
18,190.0,55.2,30.0,0.55,Catchment,First Choice,98.8,0
16,211.0,87.0,29.0,0.71,Non-Catchment,First Choice,48.1,0
16,141.0,36.0,40.0,0.88,Non-Catchment,First Choice,67.6,0
18,261.0,41.0,40.0,0.84,Non-Catchment,First Choice,86.0,1
20,210.0,64.2,27.0,0.8,Catchment,First Choice,24.0,0
18,256.0,73.8,28.0,0.28,Non-Catchment,First Choice,65.4,0
16,229.0,52.0,32.0,0.66,Catchment,First Choice,26.4,0
16,212.0,39.8,31.0,0.64,ELDS,First Choice,100.0,0
23,148.0,81.4,38.0,0.48,Catchment,First Choice,70.4,1
17,156.0,43.1,35.0,0.88,ELDS,First Choice,67.7,0
18,103.0,60.1,42.0,0.29,Catchment,First Choice,22.5,0
17,195.0,74.7,37.0,0.87,Catchment,First Choice,49.9,1
18,323.0,48.4,31.0,0.97,Non-Catchment,First Choice,50.0,1
22,162.0,45.7,24.0,0.66,Non-Catchment,First Choice,95.3,0
16,102.0,46.7,36.0,0.69,Non-Catchment,First Choice,74.6,0
23,263.0,68.5,25.0,0.89,Catchment,First Choice,26.9,0
17,326.0,70.9,31.0,0.55,Catchment,Second Choice,69.4,1
18,233.0,55.5,31.0,0.83,Non-Catchment,First Choice,29.9,0
24,233.0,83.2,32.0,0.52,Catchment,First Choice,27.4,1
22,206.0,55.5,27.0,0.46,Catchment,First Choice,69.1,0
19,139.0,74.4,31.0,0.76,Non-Catchment,Second Choice,74.9,1
20,155.0,48.5,42.0,0.69,Catchment,First Choice,69.2,0
17,206.0,90.0,42.0,0.36,Catchment,Second Choice,97.6,1
23,197.0,78.6,44.0,0.98,Catchment,Second Choice,67.4,1
19,215.0,53.1,35.0,0.62,ELDS,First Choice,63.4,1
24,257.0,76.5,37.0,0.8,Catchment,First Choice,35.7,1
20,194.0,75.8,42.0,1.0,ELDS,First Choice,77.2,1
24,258.0,78.3,26.0,0.75,Catchment,First Choice,27.0,1
19,194.0,17.8,40.0,0.95,Non-Catchment,First Choice,100.0,0
20,267.0,65.8,43.0,0.53,Catchment,First Choice,77.4,1
24,224.0,63.1,30.0,0.98,Non-Catchment,First Choice,100.0,1
23,200.0,62.1,43.0,0.53,Non-Catchment,First Choice,67.8,1
18,223.0,58.3,45.0,0.59,Non-Catchment,Second Choice,78.4,1
16,207.0,58.7,40.0,0.41,Non-Catchment,First Choice,54.5,1
18,225.0,74.2,39.0,0.75,Non-Catchment,Second Choice,59.1,1
19,254.0,63.1,28.0,0.83,Catchment,First Choice,39.0,0
17,216.0,58.3,41.0,0.85,Non-Catchment,First Choice,31.0,0
16,203.0,72.1,29.0,0.41,Non-Catchment,First Choice,63.8,0
22,169.0,61.3,37.0,0.77,Non-Catchment,Second Choice,59.0,0
23,246.0,62.7,38.0,0.78,Catchment,First Choice,38.5,1
22,236.0,83.0,15.0,0.82,ELDS,Second Choice,42.0,1
20,167.0,48.5,37.0,0.55,Non-Catchment,First Choice,60.6,0
16,258.0,32.3,45.0,0.2,Non-Catchment,Second Choice,38.1,0
22,166.0,56.1,22.0,0.84,Catchment,Second Choice,67.1,0
22,266.0,58.2,35.0,0.67,Non-Catchment,Second Choice,38.8,0
24,251.0,65.8,23.0,0.76,Non-Catchment,First Choice,65.1,0
18,239.0,56.6,30.0,0.68,Non-Catchment,First Choice,37.0,1
24,203.0,66.3,23.0,0.75,ELDS,First Choice,37.1,0
16,246.0,92.6,36.0,0.85,Non-Catchment,First Choice,12.8,1
16,268.0,67.0,40.0,0.33,Non-Catchment,First Choice,56.8,0
19,247.0,69.7,37.0,0.93,Non-Catchment,First Choice,89.1,1
24,190.0,53.1,29.0,0.66,Non-Catchment,First Choice,87.9,0
21,232.0,34.2,31.0,1.0,Non-Catchment,Second Choice,66.5,1
18,271.0,20.5,37.0,0.61,Catchment,First Choice,20.0,0
16,319.0,47.2,30.0,0.56,Catchment,First Choice,76.9,1
19,211.0,16.3,27.0,0.67,Non-Catchment,First Choice,64.5,0
24,259.0,62.7,34.0,0.8,Non-Catchment,Second Choice,51.9,1
18,271.0,49.3,29.0,0.65,Catchment,First Choice,84.1,0
24,183.0,35.3,37.0,0.81,Catchment,Second Choice,72.3,0
22,300.0,57.0,43.0,0.62,Non-Catchment,First Choice,99.2,1
19,172.0,43.9,45.0,0.71,Catchment,Second Choice,31.9,0
18,256.0,61.8,37.0,1.0,Non-Catchment,First Choice,33.5,0
20,234.0,65.6,39.0,0.77,Non-Catchment,First Choice,36.8,1
20,223.0,44.5,31.0,0.79,Catchment,First Choice,54.3,0
18,335.0,51.4,32.0,0.41,Non-Catchment,Second Choice,91.8,1
24,206.0,58.2,43.0,0.97,Non-Catchment,First Choice,47.5,1
19,206.0,33.9,33.0,0.91,Non-Catchment,Second Choice,48.0,0
20,280.0,58.2,35.0,0.56,Catchment,First Choice,68.3,0
19,254.0,33.5,42.0,0.91,Non-Catchment,First Choice,76.9,1
20,278.0,63.5,33.0,0.77,Non-Catchment,First Choice,15.3,0
22,225.0,48.5,44.0,0.71,Catchment,First Choice,80.8,1
24,234.0,33.5,38.0,0.96,Catchment,First Choice,46.9,0
22,306.0,46.3,38.0,0.6,Catchment,Second Choice,58.0,0
20,182.0,46.9,31.0,0.56,Catchment,Second Choice,88.4,1
22,215.0,71.0,38.0,0.74,Catchment,First Choice,55.7,0
20,256.0,57.6,32.0,0.81,Catchment,Second Choice,29.4,0
18,211.0,40.7,38.0,0.89,ELDS,First Choice,30.5,0
22,194.0,79.7,34.0,0.67,Non-Catchment,First Choice,59.4,1
17,248.0,64.4,41.0,0.53,Catchment,First Choice,53.3,1
24,280.0,50.0,35.0,1.0,Non-Catchment,First Choice,61.2,1
16,214.0,31.7,45.0,0.48,Catchment,First Choice,52.0,1
21,212.0,48.6,33.0,0.71,Non-Catchment,First Choice,84.8,0
22,191.0,51.7,32.0,0.86,Catchment,First Choice,60.5,1
23,207.0,60.5,37.0,0.93,Catchment,Second Choice,24.7,1
24,269.0,64.1,41.0,0.59,Non-Catchment,First Choice,76.3,1
17,224.0,67.1,41.0,0.33,Catchment,Second Choice,98.1,0
17,184.0,30.8,36.0,0.58,Non-Catchment,Second Choice,63.1,0
20,232.0,58.1,37.0,0.87,Non-Catchment,First Choice,64.7,1
20,267.0,52.6,37.0,0.83,Catchment,First Choice,44.4,0
21,195.0,95.2,29.0,0.83,Non-Catchment,First Choice,55.2,0
18,160.0,56.0,41.0,0.84,Non-Catchment,Second Choice,70.1,1
23,319.0,45.7,27.0,0.97,Catchment,Second Choice,82.6,1
16,158.0,56.7,29.0,0.54,Catchment,Second Choice,68.9,1
21,204.0,54.9,35.0,0.46,Catchment,First Choice,96.4,0
19,230.0,25.2,33.0,0.77,ELDS,Second Choice,62.0,0
16,208.0,61.1,40.0,0.49,Non-Catchment,First Choice,37.6,0
22,217.0,50.3,38.0,0.45,Catchment,First Choice,38.1,0
24,246.0,54.6,36.0,0.94,Non-Catchment,First Choice,84.7,1
19,112.0,41.9,28.0,0.75,Catchment,Second Choice,80.1,0
19,163.0,38.6,35.0,0.71,Catchment,Second Choice,27.1,1
21,222.0,68.2,35.0,0.71,Catchment,First Choice,55.8,1
18,202.0,71.6,36.0,0.68,Non-Catchment,Second Choice,56.5,1
21,226.0,61.3,32.0,0.94,Catchment,Second Choice,45.0,0
22,230.0,27.8,38.0,0.4,Non-Catchment,First Choice,31.8,0
18,125.0,62.2,33.0,0.39,Non-Catchment,First Choice,44.5,0
22,277.0,28.1,38.0,0.51,Catchment,First Choice,40.9,0
18,198.0,45.1,40.0,0.76,Catchment,First Choice,32.3,1
17,181.0,68.0,32.0,1.0,Catchment,First Choice,76.6,0
19,229.0,64.9,30.0,0.87,Non-Catchment,First Choice,65.7,1
23,225.0,61.9,38.0,0.82,ELDS,Second Choice,50.7,0
24,274.0,74.7,27.0,0.68,Catchment,First Choice,18.6,1
22,232.0,63.4,42.0,0.43,Catchment,First Choice,54.0,1
16,272.0,24.7,35.0,0.8,Catchment,First Choice,70.4,0
18,178.0,49.5,34.0,1.0,Catchment,First Choice,45.3,0
24,226.0,54.4,38.0,0.65,Non-Catchment,Second Choice,37.0,0
16,170.0,52.6,38.0,0.59,Catchment,First Choice,57.5,0
24,224.0,45.7,35.0,0.65,Catchment,First Choice,66.7,1
23,215.0,39.5,40.0,0.82,Non-Catchment,Second Choice,20.0,0
16,213.0,91.0,31.0,0.72,Catchment,First Choice,87.1,1
21,213.0,49.2,39.0,0.88,Non-Catchment,Second Choice,35.0,0
20,253.0,90.3,29.0,0.69,Catchment,First Choice,51.5,1
21,148.0,37.9,38.0,0.65,ELDS,First Choice,83.6,0
20,180.0,64.9,33.0,0.75,Catchment,Second Choice,62.5,0
21,218.0,58.4,27.0,0.59,ELDS,First Choice,81.9,0
20,167.0,41.2,37.0,1.0,Catchment,First Choice,91.1,0
20,222.0,48.0,35.0,0.86,Non-Catchment,First Choice,30.8,0
19,218.0,54.8,26.0,0.48,Catchment,First Choice,78.0,0
18,157.0,42.3,22.0,0.55,Non-Catchment,Second Choice,86.5,0
18,155.0,51.2,34.0,0.81,Catchment,Second Choice,52.5,0
19,102.0,19.5,45.0,0.74,Non-Catchment,First Choice,54.1,0
24,165.0,65.7,37.0,0.76,Non-Catchment,First Choice,21.7,1
17,221.0,73.4,31.0,0.66,Non-Catchment,Second Choice,75.6,1
24,227.0,61.8,41.0,0.79,Non-Catchment,Second Choice,9.3,1
16,229.0,89.0,40.0,0.67,Catchment,First Choice,79.4,0
16,185.0,65.2,43.0,0.81,Catchment,Second Choice,31.6,0
20,219.0,72.1,39.0,0.85,Non-Catchment,First Choice,87.8,1
21,238.0,73.6,40.0,1.0,Catchment,First Choice,67.9,1
21,163.0,13.7,39.0,0.6,Catchment,Second Choice,80.2,0
18,226.0,61.4,32.0,0.7,Catchment,First Choice,43.7,1
22,250.0,34.3,25.0,0.46,Catchment,First Choice,33.3,0
24,198.0,37.3,32.0,1.0,Non-Catchment,First Choice,24.7,0
23,268.0,39.9,42.0,0.3,Non-Catchment,First Choice,81.8,1
21,199.0,50.3,33.0,1.0,ELDS,First Choice,73.3,1
23,181.0,64.8,34.0,0.72,Catchment,First Choice,74.0,1
20,245.0,61.5,28.0,0.78,ELDS,First Choice,65.8,1
23,311.0,54.8,32.0,0.67,Non-Catchment,First Choice,70.9,1
19,224.0,65.8,35.0,0.71,ELDS,First Choice,54.2,0
23,249.0,66.8,38.0,0.82,Non-Catchment,First Choice,67.4,1
17,197.0,61.6,32.0,0.37,Non-Catchment,First Choice,42.9,0
20,164.0,29.1,32.0,0.57,Catchment,First Choice,53.1,0
24,227.0,43.9,40.0,0.53,Catchment,First Choice,100.0,0
19,235.0,55.4,37.0,0.79,Catchment,Second Choice,60.8,1
21,204.0,66.0,38.0,0.7,ELDS,First Choice,20.6,0
16,248.0,35.1,44.0,0.82,ELDS,Second Choice,51.8,0
24,191.0,54.8,32.0,0.73,Non-Catchment,First Choice,38.8,0
16,179.0,31.5,35.0,0.91,Non-Catchment,Second Choice,63.2,0
20,268.0,70.4,38.0,0.55,ELDS,First Choice,42.2,1
19,268.0,58.6,30.0,0.71,Non-Catchment,Second Choice,55.8,0
18,191.0,34.8,36.0,0.92,Non-Catchment,First Choice,45.2,0
21,297.0,34.7,35.0,0.88,Non-Catchment,Second Choice,63.9,1
17,207.0,60.8,45.0,0.4,Non-Catchment,First Choice,47.5,0
18,224.0,75.6,36.0,0.5,Catchment,Second Choice,67.1,0
20,216.0,38.5,42.0,0.68,Non-Catchment,Second Choice,99.0,0
24,244.0,66.8,40.0,0.65,Non-Catchment,First Choice,36.9,0
17,232.0,46.9,28.0,0.69,Non-Catchment,First Choice,74.5,1
23,232.0,67.3,26.0,0.86,Non-Catchment,First Choice,10.9,0
17,174.0,65.2,36.0,0.76,Catchment,Second Choice,55.3,1
20,144.0,57.3,43.0,0.77,Catchment,First Choice,64.6,1
22,271.0,27.5,37.0,0.83,Non-Catchment,First Choice,45.0,0
23,195.0,65.2,35.0,0.91,Non-Catchment,First Choice,24.3,0
16,218.0,62.5,33.0,0.09,Catchment,First Choice,59.2,1
21,235.0,61.2,27.0,0.62,Non-Catchment,First Choice,90.6,1
16,293.0,57.9,29.0,0.52,Non-Catchment,First Choice,57.1,1
17,227.0,41.8,25.0,0.8,ELDS,First Choice,71.2,0
16,202.0,71.2,28.0,0.61,Non-Catchment,First Choice,82.5,1
20,196.0,68.5,32.0,0.72,Catchment,First Choice,100.0,1
24,218.0,38.9,40.0,0.87,Non-Catchment,First Choice,39.0,0
21,179.0,74.7,32.0,0.58,Non-Catchment,First Choice,41.0,0
16,221.0,57.0,37.0,0.77,Non-Catchment,First Choice,54.2,0
16,218.0,56.9,36.0,1.0,Non-Catchment,First Choice,72.3,0
17,294.0,52.4,38.0,0.87,Catchment,Second Choice,13.6,1
24,216.0,53.8,29.0,0.38,Non-Catchment,First Choice,73.1,0
18,133.0,75.6,41.0,0.64,Non-Catchment,First Choice,63.0,0
16,340.0,70.5,27.0,0.77,Non-Catchment,First Choice,49.3,1
20,263.0,70.2,32.0,0.81,Catchment,First Choice,68.5,1
22,314.0,57.8,35.0,0.65,Non-Catchment,First Choice,77.8,1
21,168.0,68.3,40.0,0.57,Non-Catchment,Second Choice,80.6,1
16,210.0,42.5,43.0,0.71,Non-Catchment,First Choice,60.3,0
20,250.0,63.8,40.0,0.48,Catchment,First Choice,66.5,1
20,244.0,52.7,43.0,0.92,Catchment,First Choice,65.8,1
21,234.0,24.1,30.0,1.0,Catchment,Second Choice,84.6,0
18,121.0,31.2,42.0,0.78,Non-Catchment,First Choice,67.6,0
20,143.0,45.1,41.0,0.65,Non-Catchment,First Choice,72.9,0
22,288.0,61.2,21.0,0.89,Non-Catchment,First Choice,77.9,1
20,296.0,45.1,34.0,0.85,Non-Catchment,First Choice,99.2,1
20,215.0,46.1,39.0,0.64,Non-Catchment,Second Choice,48.3,0
20,283.0,66.4,32.0,0.69,Catchment,First Choice,92.5,1
18,174.0,46.7,28.0,0.58,Catchment,First Choice,100.0,1
16,184.0,75.0,45.0,0.73,Non-Catchment,First Choice,49.6,1
20,170.0,72.5,36.0,0.76,Non-Catchment,First Choice,55.7,1
24,182.0,55.3,36.0,0.54,Non-Catchment,First Choice,51.4,0
16,253.0,66.3,27.0,0.49,Non-Catchment,Second Choice,73.1,1
18,181.0,64.3,31.0,0.43,Non-Catchment,First Choice,22.8,0
19,321.0,51.3,30.0,0.78,Catchment,First Choice,50.0,1
16,241.0,67.9,41.0,0.7,Non-Catchment,First Choice,54.5,1
16,269.0,70.1,38.0,0.68,ELDS,Second Choice,52.8,1
23,242.0,40.7,32.0,0.79,Non-Catchment,First Choice,52.6,0
17,275.0,57.3,38.0,0.52,Catchment,Second Choice,50.2,1
23,181.0,57.1,33.0,0.49,Non-Catchment,First Choice,75.5,0
22,285.0,67.7,36.0,0.75,Catchment,First Choice,70.8,1
17,226.0,48.3,36.0,0.35,Catchment,First Choice,94.1,0
21,274.0,46.0,38.0,0.65,Non-Catchment,First Choice,75.6,0
21,155.0,57.5,37.0,1.0,Catchment,First Choice,38.0,0
18,228.0,72.7,38.0,0.43,ELDS,First Choice,56.6,0
17,227.0,37.0,43.0,0.61,Non-Catchment,First Choice,54.5,0
16,192.0,39.6,39.0,0.28,Non-Catchment,First Choice,65.1,0
21,234.0,47.2,33.0,0.65,Non-Catchment,First Choice,81.9,1
20,289.0,49.9,34.0,1.0,Catchment,First Choice,63.7,1
24,189.0,28.5,42.0,0.79,Non-Catchment,Second Choice,63.8,0
16,263.0,77.5,36.0,0.58,ELDS,First Choice,60.2,1
22,169.0,53.0,33.0,1.0,Non-Catchment,Second Choice,76.2,0
20,315.0,50.8,31.0,0.35,Non-Catchment,First Choice,48.6,0
20,255.0,79.3,37.0,0.79,ELDS,First Choice,30.9,1
17,298.0,65.8,30.0,0.71,Catchment,Second Choice,72.9,1
18,250.0,47.0,43.0,0.65,Catchment,First Choice,67.5,1
22,238.0,57.5,29.0,0.86,Catchment,First Choice,86.5,1
21,256.0,54.4,44.0,0.46,Non-Catchment,First Choice,11.4,0
17,214.0,76.7,33.0,0.76,Non-Catchment,First Choice,58.0,1
21,147.0,52.5,29.0,0.74,Non-Catchment,First Choice,62.1,0
17,240.0,33.4,36.0,0.53,ELDS,Second Choice,29.8,0
17,186.0,26.8,29.0,1.0,Non-Catchment,First Choice,58.3,0
17,170.0,77.1,35.0,0.66,Catchment,First Choice,83.7,1
18,249.0,43.2,32.0,0.67,Catchment,Second Choice,100.0,1
17,207.0,65.1,41.0,0.49,ELDS,First Choice,79.6,1
19,266.0,56.1,36.0,0.67,Catchment,First Choice,53.5,0
24,184.0,48.8,28.0,1.0,Non-Catchment,First Choice,85.2,1
21,199.0,51.1,31.0,0.65,Catchment,First Choice,78.2,0
16,272.0,78.8,39.0,0.8,Catchment,Second Choice,50.3,1
23,233.0,33.3,43.0,0.89,Non-Catchment,First Choice,48.4,1
22,154.0,49.2,35.0,0.66,Catchment,First Choice,56.6,0
18,232.0,68.6,29.0,0.62,ELDS,First Choice,39.0,1
16,287.0,35.8,41.0,0.79,Non-Catchment,Second Choice,53.8,1
20,198.0,74.8,39.0,0.65,Non-Catchment,First Choice,69.7,0
19,247.0,68.4,43.0,0.63,Non-Catchment,Second Choice,80.8,1
23,182.0,59.1,37.0,0.89,Non-Catchment,Second Choice,52.4,0
16,214.0,47.5,32.0,0.69,ELDS,First Choice,87.8,1
16,269.0,33.8,38.0,0.94,Catchment,First Choice,73.0,1
19,230.0,65.6,37.0,0.68,Catchment,First Choice,73.9,1
23,278.0,96.2,32.0,0.44,Catchment,First Choice,41.6,1
20,239.0,57.2,36.0,0.01,Non-Catchment,Second Choice,96.2,1
17,320.0,27.6,34.0,0.33,ELDS,First Choice,71.1,1
21,150.0,61.9,39.0,0.37,Catchment,First Choice,53.3,0
20,210.0,67.9,38.0,0.75,Non-Catchment,First Choice,49.8,0
17,171.0,41.2,29.0,0.51,Catchment,Second Choice,53.8,0
18,174.0,45.3,28.0,0.31,Catchment,First Choice,39.6,0
24,175.0,43.8,34.0,0.67,Non-Catchment,First Choice,79.8,0
22,228.0,47.0,35.0,0.48,Catchment,First Choice,41.7,0
22,230.0,52.4,40.0,0.79,Non-Catchment,First Choice,65.8,1
21,239.0,42.1,38.0,0.79,Non-Catchment,First Choice,51.0,0
23,169.0,36.5,44.0,0.81,Non-Catchment,First Choice,73.4,0
19,205.0,57.6,32.0,0.19,Non-Catchment,First Choice,76.1,0
23,177.0,52.3,32.0,0.71,Non-Catchment,First Choice,47.1,0
19,262.0,48.5,29.0,0.68,Non-Catchment,Second Choice,59.3,0
23,181.0,56.2,39.0,0.46,Catchment,First Choice,31.1,0
24,210.0,32.2,35.0,0.27,Non-Catchment,First Choice,94.0,0
18,245.0,58.9,24.0,0.68,Catchment,First Choice,81.4,0
18,192.0,48.8,36.0,0.91,Catchment,First Choice,32.1,0
17,251.0,58.6,37.0,0.18,Non-Catchment,First Choice,42.7,1
18,292.0,61.0,34.0,0.53,Non-Catchment,Second Choice,57.3,1
18,229.0,72.0,37.0,0.73,Catchment,First Choice,60.8,1
20,261.0,56.5,28.0,0.92,Catchment,First Choice,46.3,1
20,127.0,71.0,45.0,0.64,Catchment,First Choice,37.1,1
17,201.0,50.2,37.0,1.0,Catchment,First Choice,67.9,1
21,228.0,50.9,24.0,0.34,Non-Catchment,First Choice,94.8,0
20,173.0,53.6,35.0,0.3,Catchment,Second Choice,61.1,0
21,229.0,66.6,37.0,0.9,Non-Catchment,First Choice,54.2,1
16,268.0,64.5,28.0,0.23,Non-Catchment,First Choice,52.1,0
20,135.0,57.0,38.0,0.79,Non-Catchment,Second Choice,38.1,0
24,166.0,36.6,45.0,0.64,Non-Catchment,First Choice,46.6,0
17,228.0,64.2,31.0,0.52,Catchment,First Choice,82.7,1
16,241.0,42.1,38.0,0.61,Catchment,First Choice,18.6,0
24,253.0,41.3,36.0,0.44,Non-Catchment,First Choice,61.4,1
24,225.0,37.9,41.0,0.64,Catchment,First Choice,60.6,0
24,241.0,53.8,34.0,0.7,Non-Catchment,Second Choice,62.4,0
21,261.0,73.2,29.0,0.62,Catchment,Second Choice,74.5,1
23,201.0,40.5,40.0,0.58,Catchment,First Choice,61.2,0
16,193.0,80.2,29.0,0.75,Catchment,First Choice,50.9,0
19,212.0,68.6,45.0,1.0,Catchment,Second Choice,46.9,1
16,229.0,33.0,38.0,0.65,ELDS,First Choice,86.0,0
23,190.0,49.3,31.0,0.86,Catchment,First Choice,80.8,0
16,202.0,39.4,42.0,0.51,Non-Catchment,First Choice,100.0,0
18,238.0,65.0,35.0,0.43,Non-Catchment,First Choice,54.4,1
19,227.0,40.2,34.0,0.79,Non-Catchment,Second Choice,47.2,1
23,212.0,30.7,31.0,0.65,Non-Catchment,First Choice,69.1,1
21,142.0,50.1,24.0,0.93,ELDS,First Choice,68.6,0
22,220.0,72.5,39.0,0.97,Catchment,First Choice,72.7,1
23,176.0,52.1,25.0,0.87,Non-Catchment,First Choice,76.9,0
17,264.0,61.0,30.0,0.86,Catchment,First Choice,72.5,1
23,206.0,61.6,38.0,0.01,Non-Catchment,First Choice,81.5,0
18,175.0,32.3,32.0,0.79,Non-Catchment,Second Choice,84.2,0
22,217.0,41.5,36.0,0.87,Non-Catchment,First Choice,84.5,0
18,277.0,55.1,28.0,0.45,Catchment,Second Choice,14.8,0
22,248.0,46.6,33.0,0.7,Catchment,First Choice,64.6,0
17,230.0,80.6,36.0,0.49,Non-Catchment,First Choice,41.5,1
21,160.0,36.6,29.0,0.91,Non-Catchment,First Choice,81.1,0
18,293.0,41.4,45.0,0.51,Catchment,Second Choice,14.4,0
18,192.0,59.4,31.0,0.54,ELDS,First Choice,89.4,0
24,262.0,45.6,43.0,0.61,ELDS,First Choice,42.7,0
22,205.0,11.6,34.0,1.0,Non-Catchment,First Choice,38.1,0
20,258.0,84.0,26.0,0.9,Non-Catchment,First Choice,67.1,1
22,279.0,38.9,28.0,1.0,Catchment,First Choice,52.5,0
24,249.0,63.4,36.0,0.34,ELDS,First Choice,95.6,1
16,254.0,36.2,41.0,0.45,Non-Catchment,First Choice,87.3,0
22,216.0,42.1,45.0,0.97,Catchment,First Choice,49.8,0
21,200.0,30.7,36.0,0.35,Non-Catchment,First Choice,80.8,0
24,226.0,43.9,28.0,0.57,Catchment,First Choice,49.1,0
16,205.0,45.3,37.0,1.0,Non-Catchment,First Choice,48.9,1
19,331.0,53.0,30.0,0.51,Catchment,First Choice,74.3,1
24,175.0,49.4,37.0,0.34,Non-Catchment,First Choice,89.1,0
19,265.0,33.4,29.0,0.71,Non-Catchment,First Choice,51.2,0
18,243.0,47.1,22.0,0.34,Non-Catchment,First Choice,52.7,0
24,230.0,76.7,43.0,0.95,Catchment,First Choice,66.0,1
17,287.0,74.9,34.0,0.52,Non-Catchment,First Choice,42.1,1
19,233.0,61.8,35.0,0.48,Non-Catchment,First Choice,91.3,1
21,191.0,64.9,41.0,0.71,Catchment,First Choice,41.9,1
17,233.0,85.9,45.0,0.62,ELDS,First Choice,47.3,1
23,212.0,63.6,39.0,0.75,Non-Catchment,First Choice,95.3,1
23,243.0,64.7,36.0,0.8,Non-Catchment,First Choice,64.3,0
16,257.0,31.5,38.0,0.66,Catchment,First Choice,98.9,0
18,181.0,38.3,33.0,0.47,Catchment,First Choice,55.6,0
24,274.0,54.5,35.0,0.85,Catchment,First Choice,100.0,1
20,209.0,42.9,36.0,0.56,Non-Catchment,Second Choice,72.3,1
21,240.0,40.0,30.0,0.53,Catchment,First Choice,45.0,0
19,248.0,41.8,35.0,0.73,Non-Catchment,Second Choice,44.6,1
17,237.0,33.6,37.0,0.31,Catchment,First Choice,30.9,0
23,215.0,43.1,38.0,0.78,Catchment,Second Choice,33.0,0
21,198.0,60.1,38.0,0.74,Non-Catchment,First Choice,46.8,0
20,208.0,81.9,27.0,0.92,ELDS,First Choice,40.2,0
24,290.0,67.0,42.0,0.6,Catchment,First Choice,8.4,1
16,181.0,64.5,42.0,0.96,Non-Catchment,First Choice,76.8,0
20,188.0,30.6,34.0,0.81,Non-Catchment,Second Choice,75.5,0
21,186.0,56.8,38.0,0.69,Non-Catchment,First Choice,66.2,0
20,226.0,54.0,34.0,1.0,Non-Catchment,First Choice,37.3,0
21,151.0,59.4,40.0,0.72,ELDS,First Choice,92.9,0
21,159.0,49.6,30.0,0.6,Catchment,First Choice,56.4,0
22,208.0,79.9,43.0,0.72,Non-Catchment,Second Choice,43.3,1
19,162.0,55.8,39.0,0.59,Non-Catchment,First Choice,64.7,1
23,166.0,57.3,39.0,0.77,Non-Catchment,First Choice,63.5,0
22,162.0,25.6,34.0,0.96,Catchment,First Choice,9.9,0
24,182.0,53.4,27.0,0.7,ELDS,First Choice,59.4,0
22,253.0,72.2,40.0,0.72,Non-Catchment,Second Choice,62.4,1
18,263.0,63.3,27.0,0.86,Catchment,Second Choice,52.4,0
18,306.0,22.7,40.0,0.94,Catchment,First Choice,33.6,1
23,305.0,48.3,30.0,0.61,ELDS,First Choice,34.2,1
20,255.0,81.0,25.0,0.73,Catchment,Second Choice,70.3,1
19,266.0,52.7,35.0,0.86,Non-Catchment,First Choice,75.2,1
23,226.0,59.8,42.0,0.77,Catchment,First Choice,51.0,1
21,243.0,79.3,29.0,0.33,Catchment,First Choice,67.6,1
17,307.0,52.7,45.0,0.9,Catchment,First Choice,50.8,1
19,237.0,66.9,39.0,0.8,Catchment,First Choice,42.9,1
19,272.0,61.2,36.0,0.82,Catchment,Second Choice,64.3,1
21,178.0,64.4,32.0,0.46,Non-Catchment,First Choice,37.0,0
21,190.0,60.7,33.0,0.73,Non-Catchment,First Choice,97.9,0
16,234.0,46.8,38.0,0.87,Catchment,First Choice,31.2,0
23,227.0,48.3,40.0,0.52,Non-Catchment,First Choice,65.7,1
21,192.0,42.2,31.0,0.58,Non-Catchment,First Choice,63.0,0
18,328.0,30.4,30.0,0.87,Non-Catchment,First Choice,61.2,0
24,228.0,73.7,34.0,0.57,Non-Catchment,First Choice,89.7,1
17,200.0,55.2,43.0,0.66,Non-Catchment,First Choice,6.3,0
23,227.0,72.9,28.0,0.49,ELDS,First Choice,68.2,0
18,221.0,78.5,42.0,1.0,Non-Catchment,First Choice,54.5,1
20,228.0,55.8,35.0,0.8,Catchment,First Choice,71.7,1
21,148.0,35.3,25.0,0.65,Non-Catchment,First Choice,61.1,0
21,278.0,52.1,32.0,0.61,Catchment,Second Choice,58.5,0
19,281.0,44.9,39.0,0.45,Catchment,First Choice,35.9,0
18,286.0,25.3,45.0,0.68,Non-Catchment,First Choice,46.5,0
19,235.0,47.5,27.0,0.83,Non-Catchment,First Choice,100.0,1
16,250.0,53.9,18.0,0.54,Catchment,First Choice,71.9,0
19,181.0,45.4,27.0,0.72,Non-Catchment,First Choice,81.1,0
16,257.0,43.4,42.0,0.63,Catchment,Second Choice,53.0,0
